"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Glul",105492.284657038,1.85137612803747,0.520927203013895,7.49748506513866e-06,8.7358955402076e-05
"Vim",14555.3947694373,2.68960335766957,0.318749013965614,2.22587937340357e-18,1.59332824327322e-16
"C1qb",941.667684689666,0.793776356926248,0.415419018101194,0.0196710619051575,0.0688388634012184
"C1qa",1466.73325432634,1.01268752432832,0.445170236950885,0.00434648916418913,0.0206248582199984
"Aldh1l1",799.504941440196,3.30278814027344,0.638076599291566,7.79711243417109e-09,1.75721762290622e-07
"Rlbp1",35725.0870228397,2.49954460268699,0.572247061652149,2.69145233955321e-07,4.39335575351741e-06
"S100b",1351.99216536202,0.894253164666215,0.407742068165662,0.00777873913243261,0.0331212719861209
"Gfap",2919.9565292298,3.52358792547368,0.52608786055707,9.08916064729486e-13,3.67479814503824e-11
"Slc1a3",18152.7062253535,2.9157455158767,0.332012277280384,1.37818992078932e-19,1.08430023227506e-17
"Aif1",218.3169156928,1.17580555167271,0.671897349736634,0.00883138900600226,0.0365865845300843
"Trem2",264.008399946648,0.624213880617738,0.478173406468744,0.0899781033459848,0.208153318283572
